scenario,tx_idx,split,requested_users,kept_users,discarded_users,discard_ratio,history_len,los_users,nlos_users,los_ratio,nlos_ratio,avg_unique_beams,min_unique_beams,max_unique_beams,constant_histories,constant_history_ratio,avg_majority_share,direction_counts
city_1_losangeles_3p5,2,val,3664,1840,1824,0.4978165938864629,23,144,1696,0.0782608695652174,0.9217391304347826,8.668478260869565,3,16,0,0.0,0.34002835538752363,"{'down': 222, 'left': 739, 'right': 734, 'up': 145}"
city_2_chicago_3p5,0,train,8362,8356,6,0.0007175316909830184,23,2903,5453,0.3474150311153662,0.6525849688846338,6.415031115366204,1,17,134,0.016036381043561514,0.4421712073594605,"{'down': 700, 'left': 5168, 'right': 2348, 'up': 140}"
city_2_chicago_3p5,0,val,2089,796,1293,0.6189564384873145,23,252,544,0.3165829145728643,0.6834170854271356,5.842964824120603,2,13,0,0.0,0.430795280751584,"{'down': 122, 'left': 300, 'right': 296, 'up': 78}"
city_2_chicago_3p5,1,train,6534,6530,4,0.0006121824303642485,23,3871,2659,0.592802450229709,0.407197549770291,6.070137825421133,1,17,210,0.03215926493108729,0.466176176842666,"{'down': 1750, 'left': 3468, 'right': 1235, 'up': 77}"
city_2_chicago_3p5,1,val,1616,799,817,0.505569306930693,23,281,518,0.35168961201501875,0.6483103879849812,8.692115143929913,2,14,0,0.0,0.31621048049191924,"{'down': 88, 'left': 333, 'right': 329, 'up': 49}"
city_2_chicago_3p5,2,train,5640,5431,209,0.03705673758865248,23,1070,4361,0.1970171239182471,0.8029828760817529,3.6659915301049533,1,15,71,0.013073098876818266,0.6631015186569853,"{'down': 770, 'left': 3360, 'right': 1117, 'up': 184}"
city_2_chicago_3p5,2,val,1428,642,786,0.5504201680672269,23,31,611,0.048286604361370715,0.9517133956386293,3.750778816199377,2,10,0,0.0,0.7071651090342679,"{'down': 11, 'left': 321, 'right': 309, 'up': 1}"
city_3_houston_3p5,0,train,15477,15477,0,0.0,23,4703,10774,0.30387025909413967,0.6961297409058603,5.931188214770304,1,17,1271,0.08212185824126123,0.46932755758193784,"{'left': 11935, 'right': 3542}"
city_3_houston_3p5,0,val,3925,2481,1444,0.36789808917197453,23,889,1592,0.35832325675130994,0.6416767432486901,8.099959693671906,1,16,45,0.018137847642079808,0.4022571543732366,"{'down': 194, 'left': 937, 'right': 925, 'up': 425}"
city_3_houston_3p5,1,train,19150,19150,0,0.0,23,5227,13923,0.27295039164490864,0.7270496083550914,5.361514360313316,1,16,1109,0.057911227154047,0.5275263934612328,"{'left': 15608, 'right': 3542}"
city_3_houston_3p5,1,val,4808,3432,1376,0.28618968386023297,23,953,2479,0.2776806526806527,0.7223193473193473,6.896561771561772,1,16,41,0.011946386946386946,0.43229958447349753,"{'down': 288, 'left': 1398, 'right': 1390, 'up': 356}"
city_3_houston_3p5,2,train,19719,19719,0,0.0,23,6725,12994,0.34104163497134743,0.6589583650286526,6.594654901364167,1,18,495,0.02510269283432223,0.4113446091498598,"{'left': 16177, 'right': 3542}"
city_3_houston_3p5,2,val,4917,3595,1322,0.2688631279235306,23,969,2626,0.2695410292072323,0.7304589707927678,10.247287899860918,2,17,0,0.0,0.27406421962871136,"{'down': 269, 'left': 1521, 'right': 1500, 'up': 305}"
city_4_phoenix_3p5,0,train,10761,10761,0,0.0,23,1784,8977,0.16578384908465757,0.8342161509153424,5.525137069045628,1,17,72,0.006690827989963758,0.4627135832696978,"{'down': 255, 'left': 6904, 'right': 3015, 'up': 587}"
city_4_phoenix_3p5,0,val,2728,1187,1541,0.5648826979472141,23,190,997,0.16006739679865206,0.8399326032013479,8.195450716090985,2,17,0,0.0,0.34537196439690854,"{'down': 210, 'left': 297, 'right': 289, 'up': 391}"
city_4_phoenix_3p5,1,train,18359,18359,0,0.0,23,4552,13807,0.24794378778800588,0.7520562122119941,4.692902663543766,1,17,1273,0.06933928863227845,0.5555763433169847,"{'left': 13805, 'right': 4554}"
city_4_phoenix_3p5,1,val,4570,3035,1535,0.3358862144420131,23,860,2175,0.2833607907742998,0.7166392092257001,6.235255354200988,2,14,0,0.0,0.43095766778884037,"{'down': 897, 'left': 670, 'right': 648, 'up': 820}"
city_4_phoenix_3p5,2,train,19826,19826,0,0.0,23,10011,9815,0.504943004135983,0.49505699586401697,5.108897407444769,1,18,287,0.014475940683950368,0.46708099596928054,"{'down': 51, 'left': 15272, 'right': 4503}"
city_4_phoenix_3p5,2,val,4979,3427,1552,0.3117091785499096,23,1819,1608,0.5307849430989203,0.4692150569010797,8.078786110300554,1,16,17,0.004960606944849723,0.3580517882290252,"{'down': 709, 'left': 982, 'right': 969, 'up': 767}"
city_5_philadelphia_3p5,0,train,9166,9130,36,0.0039275583678813,23,2465,6665,0.26998904709748084,0.7300109529025192,5.37973713033954,1,14,294,0.032201533406352685,0.5008333730177628,"{'down': 2524, 'left': 4025, 'right': 2113, 'up': 468}"
city_5_philadelphia_3p5,0,val,2305,454,1851,0.8030368763557484,23,188,266,0.41409691629955947,0.5859030837004405,6.458149779735683,3,12,0,0.0,0.40413713847921856,"{'down': 118, 'left': 110, 'right': 110, 'up': 116}"
city_5_philadelphia_3p5,1,train,6764,6504,260,0.0384387936132466,23,2400,4104,0.36900369003690037,0.6309963099630996,8.255535055350553,1,20,54,0.008302583025830259,0.35005214182576605,"{'down': 1543, 'left': 2602, 'right': 1330, 'up': 1029}"
city_5_philadelphia_3p5,1,val,1627,225,1402,0.8617086662569146,23,60,165,0.26666666666666666,0.7333333333333333,9.835555555555555,6,16,0,0.0,0.2649275362318841,"{'down': 77, 'left': 42, 'right': 42, 'up': 64}"
city_5_philadelphia_3p5,2,train,9863,9848,15,0.0015208354456047856,23,2205,7643,0.2239033306255077,0.7760966693744923,5.093927701056052,1,16,327,0.033204711616571896,0.5300127150072405,"{'down': 1513, 'left': 5460, 'right': 2666, 'up': 209}"
city_5_philadelphia_3p5,2,val,2418,403,2015,0.8333333333333334,23,17,386,0.04218362282878412,0.9578163771712159,8.081885856079404,3,14,0,0.0,0.36195921890171534,"{'down': 104, 'left': 102, 'right': 102, 'up': 95}"
city_6_miami_3p5,0,train,21668,21668,0,0.0,23,5400,16268,0.24921543289643713,0.7507845671035629,6.617546612516153,1,17,65,0.0029998153959756324,0.4152346477674952,"{'down': 1, 'left': 17091, 'right': 4576}"
city_6_miami_3p5,0,val,5393,3886,1507,0.2794363063230113,23,941,2945,0.24215131240349974,0.7578486875965003,9.572568193515183,1,17,1,0.0002573340195573855,0.30670858600550466,"{'down': 600, 'left': 1245, 'right': 1222, 'up': 819}"
city_6_miami_3p5,1,train,22076,22076,0,0.0,23,4400,17676,0.19931146946910672,0.8006885305308933,5.569577822069215,1,17,401,0.0181645225584345,0.47783546168571805,"{'left': 17499, 'right': 4577}"
city_6_miami_3p5,1,val,5563,4103,1460,0.262448319252202,23,880,3223,0.21447721179624665,0.7855227882037533,6.9376066292956375,2,14,0,0.0,0.3668471637931948,"{'down': 568, 'left': 1310, 'right': 1298, 'up': 927}"
city_6_miami_3p5,2,train,22075,22075,0,0.0,23,4271,17804,0.19347678369195923,0.8065232163080408,5.685843714609287,1,17,333,0.01508493771234428,0.47472746073169525,"{'left': 17498, 'right': 4577}"
city_6_miami_3p5,2,val,5531,3841,1690,0.30555053335743987,23,776,3065,0.20203072116636292,0.7979692788336371,6.9242384795626135,1,16,43,0.011195001301744337,0.38218081794822456,"{'down': 632, 'left': 1192, 'right': 1173, 'up': 844}"
city_7_sandiego_3p5,0,train,18141,18141,0,0.0,23,7002,11139,0.3859765172812965,0.6140234827187034,5.221487238851221,1,17,842,0.04641419987872775,0.5172549329767067,"{'down': 12, 'left': 14093, 'right': 4025, 'up': 11}"
city_7_sandiego_3p5,0,val,4492,2910,1582,0.35218165627782727,23,1404,1506,0.4824742268041237,0.5175257731958763,6.70446735395189,1,15,1,0.0003436426116838488,0.4605856865381742,"{'down': 456, 'left': 1057, 'right': 1042, 'up': 355}"
city_7_sandiego_3p5,1,train,18678,18678,0,0.0,23,4430,14248,0.23717742799014885,0.7628225720098512,5.7339115536995395,1,16,626,0.0335153656708427,0.4832818894118633,"{'down': 52, 'left': 14630, 'right': 3951, 'up': 45}"
city_7_sandiego_3p5,1,val,4653,3047,1606,0.34515366430260047,23,531,2516,0.1742697735477519,0.8257302264522481,8.234328848047259,2,19,0,0.0,0.3637647864613804,"{'down': 317, 'left': 1173, 'right': 1146, 'up': 411}"
city_7_sandiego_3p5,2,train,17535,17535,0,0.0,23,7228,10307,0.4122041631023667,0.5877958368976333,6.888508696891931,1,17,341,0.019446820644425433,0.4516383382303716,"{'down': 178, 'left': 13487, 'right': 3865, 'up': 5}"
city_7_sandiego_3p5,2,val,4440,2765,1675,0.37725225225225223,23,1526,1239,0.5518987341772152,0.4481012658227848,8.74864376130199,2,15,0,0.0,0.3501218649264879,"{'down': 390, 'left': 1083, 'right': 1036, 'up': 256}"
city_8_dallas_3p5,0,train,22968,22968,0,0.0,23,5461,17507,0.23776558690351793,0.7622344130964821,4.645332636711947,1,18,2535,0.11037095088819227,0.5947405085336119,"{'down': 261, 'left': 18207, 'right': 4500}"
city_8_dallas_3p5,0,val,5811,4753,1058,0.18206849079332302,23,1134,3619,0.23858615611192932,0.7614138438880707,7.197559436145593,1,15,246,0.051756785188302123,0.447799559088539,"{'down': 751, 'left': 1801, 'right': 1786, 'up': 415}"
city_8_dallas_3p5,1,train,24593,24593,0,0.0,23,5571,19022,0.22652787378522343,0.7734721262147766,6.394217866872688,1,16,559,0.022730045134794454,0.4569964235139373,"{'down': 29, 'left': 19832, 'right': 4620, 'up': 112}"
city_8_dallas_3p5,1,val,6228,5316,912,0.1464354527938343,23,1065,4251,0.20033860045146726,0.7996613995485328,9.51956358164033,2,17,0,0.0,0.3010272516112147,"{'down': 550, 'left': 1925, 'right': 1900, 'up': 941}"
city_8_dallas_3p5,2,train,26200,26200,0,0.0,23,5878,20322,0.22435114503816794,0.7756488549618321,5.934885496183206,1,18,905,0.03454198473282443,0.49416528377032853,"{'left': 21439, 'right': 4761}"
city_8_dallas_3p5,2,val,6551,5775,776,0.11845519767974355,23,1122,4653,0.19428571428571428,0.8057142857142857,9.237922077922079,2,18,0,0.0,0.3342443064182195,"{'down': 767, 'left': 2147, 'right': 2130, 'up': 731}"
city_9_sanfrancisco_3p5,0,train,16134,16134,0,0.0,23,3930,12204,0.24358497582744515,0.7564150241725549,6.230073137473658,1,17,68,0.004214701871823478,0.40758376854711353,"{'down': 1, 'left': 11626, 'right': 4424, 'up': 83}"
city_9_sanfrancisco_3p5,0,val,4108,2253,1855,0.4515579357351509,23,682,1571,0.3027075011096316,0.6972924988903684,7.948069241011984,1,13,1,0.0004438526409232135,0.36199077558424514,"{'down': 737, 'left': 496, 'right': 496, 'up': 524}"
city_9_sanfrancisco_3p5,1,train,16058,16058,0,0.0,23,5363,10695,0.333976833976834,0.666023166023166,6.809191680159422,1,18,244,0.015194918420724872,0.40590089187564643,"{'down': 16, 'left': 11550, 'right': 4400, 'up': 92}"
city_9_sanfrancisco_3p5,1,val,3913,2092,1821,0.4653718374648607,23,682,1410,0.3260038240917782,0.6739961759082218,8.416347992351817,2,17,0,0.0,0.33618754676199186,"{'down': 679, 'left': 460, 'right': 460, 'up': 493}"
city_9_sanfrancisco_3p5,2,train,17185,17185,0,0.0,23,4070,13115,0.23683444864707595,0.7631655513529241,5.751236543497236,1,18,223,0.012976432935699738,0.4744430810489431,"{'left': 12677, 'right': 4419, 'up': 89}"
city_9_sanfrancisco_3p5,2,val,4277,2399,1878,0.4390928220715455,23,601,1798,0.25052105043768236,0.7494789495623176,7.917048770320967,1,16,62,0.025844101709045435,0.3975207060913062,"{'down': 699, 'left': 574, 'right': 574, 'up': 552}"
city_10_austin_3p5,0,train,21367,21367,0,0.0,23,7104,14263,0.3324753123976225,0.6675246876023775,6.238217812514625,1,17,234,0.010951467215800065,0.4333012508113893,"{'left': 15502, 'right': 5865}"
city_10_austin_3p5,0,val,5313,4398,915,0.17221908526256352,23,1314,3084,0.2987721691678035,0.7012278308321964,8.477035015916325,3,17,0,0.0,0.3108428732427783,"{'down': 1900, 'left': 295, 'right': 295, 'up': 1908}"
city_10_austin_3p5,1,train,21190,21190,0,0.0,23,10544,10646,0.4975932043416706,0.5024067956583294,6.518971212836243,1,17,110,0.005191127890514393,0.3741879885918296,"{'down': 2, 'left': 15325, 'right': 5836, 'up': 27}"
city_10_austin_3p5,1,val,5266,4306,960,0.18230155715913407,23,1996,2310,0.463539247561542,0.5364607524384579,9.959591267998142,3,16,0,0.0,0.2732183606292535,"{'down': 1826, 'left': 311, 'right': 311, 'up': 1858}"
city_10_austin_3p5,2,train,20651,20651,0,0.0,23,6250,14401,0.30264878214130064,0.6973512178586994,6.926056849547237,1,16,186,0.009006827756525108,0.4123602815317924,"{'left': 14786, 'right': 5865}"
city_10_austin_3p5,2,val,5155,4111,1044,0.20252182347235695,23,1217,2894,0.296035027973729,0.703964972026271,8.594745803940647,3,17,0,0.0,0.3036709570293909,"{'down': 1841, 'left': 247, 'right': 247, 'up': 1776}"
city_11_santaclara_3p5,0,train,20724,20724,0,0.0,23,8851,11873,0.42708936498745415,0.5729106350125458,5.101862574792511,1,16,626,0.030206523837097085,0.5355206733633762,"{'left': 18033, 'right': 2691}"
city_11_santaclara_3p5,0,val,5159,4722,437,0.08470633843768172,23,1928,2794,0.40830156713257093,0.5916984328674291,7.401524777636594,2,17,0,0.0,0.3432591201222769,"{'down': 12, 'left': 2468, 'right': 2237, 'up': 5}"
city_11_santaclara_3p5,1,train,21391,21391,0,0.0,23,5169,16222,0.24164368192230376,0.7583563180776962,6.557991678743397,1,16,378,0.01767098312374363,0.4272093302140478,"{'left': 18700, 'right': 2691}"
city_11_santaclara_3p5,1,val,5326,4960,366,0.06871948929778446,23,1009,3951,0.2034274193548387,0.7965725806451613,9.192137096774193,3,18,0,0.0,0.28248597475455817,"{'down': 33, 'left': 2635, 'right': 2289, 'up': 3}"
city_11_santaclara_3p5,2,train,20967,20967,0,0.0,23,9405,11562,0.44856202604092144,0.5514379739590786,5.131444651118424,1,17,1090,0.05198645490532742,0.5243477846139171,"{'left': 18276, 'right': 2691}"
city_11_santaclara_3p5,2,val,5226,4766,460,0.0880214313050134,23,1987,2779,0.41691145614771297,0.583088543852287,9.575115400755351,2,17,0,0.0,0.3134339250852962,"{'down': 28, 'left': 2535, 'right': 2199, 'up': 4}"
city_12_fortworth_3p5,0,train,19074,19074,0,0.0,23,2680,16394,0.14050540002097095,0.859494599979029,6.555782740903848,1,16,130,0.0068155604487784415,0.4133922343641014,"{'down': 298, 'left': 14174, 'right': 4602}"
city_12_fortworth_3p5,0,val,4815,3177,1638,0.3401869158878505,23,545,2632,0.17154548316021404,0.828454516839786,8.281082782499213,1,16,18,0.0056657223796034,0.3314721298463138,"{'down': 899, 'left': 865, 'right': 854, 'up': 559}"
city_12_fortworth_3p5,1,train,18889,18889,0,0.0,23,3016,15873,0.1596696490020647,0.8403303509979353,4.09185240086823,1,18,2075,0.10985229498650008,0.6375277076375254,"{'down': 22, 'left': 13967, 'right': 4900}"
city_12_fortworth_3p5,1,val,4834,3167,1667,0.3448489863467108,23,717,2450,0.22639722134512158,0.7736027786548785,5.436375118408589,1,14,71,0.02241869276918219,0.5750470202221276,"{'down': 875, 'left': 754, 'right': 753, 'up': 785}"
city_12_fortworth_3p5,2,train,21113,21113,0,0.0,23,5323,15790,0.25211954719840857,0.7478804528015914,6.4466442476199495,1,18,675,0.03197082366314593,0.4195848838238959,"{'down': 177, 'left': 16192, 'right': 4744}"
city_12_fortworth_3p5,2,val,5309,3602,1707,0.32152947824449046,23,762,2840,0.21154913936701833,0.7884508606329816,9.647140477512494,2,18,0,0.0,0.30685850855804747,"{'down': 1063, 'left': 930, 'right': 929, 'up': 680}"
city_13_columbus_3p5,0,train,5856,5718,138,0.0235655737704918,23,1644,4074,0.28751311647429173,0.7124868835257083,4.524484085344526,1,16,241,0.04214760405736272,0.5698556807640252,"{'down': 1375, 'left': 2443, 'right': 1565, 'up': 335}"
city_13_columbus_3p5,0,val,1499,133,1366,0.9112741827885257,23,11,122,0.08270676691729323,0.9172932330827067,4.473684210526316,3,9,0,0.0,0.5031055900621118,"{'down': 64, 'left': 2, 'right': 2, 'up': 65}"
city_13_columbus_3p5,1,train,9419,9367,52,0.0055207559188873555,23,2195,7172,0.23433329774741113,0.7656667022525889,5.802177858439202,1,17,120,0.012810931995302659,0.48107370463375126,"{'down': 1149, 'left': 5844, 'right': 2038, 'up': 336}"
city_13_columbus_3p5,1,val,2288,672,1616,0.7062937062937062,23,159,513,0.23660714285714285,0.7633928571428571,7.388392857142857,3,14,0,0.0,0.41744306418219457,"{'down': 18, 'left': 324, 'right': 320, 'up': 10}"
city_13_columbus_3p5,2,train,11932,11929,3,0.00025142474019443513,23,5179,6750,0.4341520663928242,0.5658479336071758,5.004694442115852,1,16,784,0.06572218962192974,0.5259305966096506,"{'down': 774, 'left': 7874, 'right': 3248, 'up': 33}"
city_13_columbus_3p5,2,val,2992,1362,1630,0.5447860962566845,23,830,532,0.6093979441997063,0.39060205580029367,6.3627019089574155,1,14,11,0.008076358296622614,0.46849262593372926,"{'down': 209, 'left': 509, 'right': 507, 'up': 137}"
city_17_seattle_3p5_s,0,train,17665,17662,3,0.00016982734220209454,23,3393,14269,0.19210734911108596,0.807892650888914,5.405559959234515,1,15,145,0.008209715773978032,0.5336561421474746,"{'down': 323, 'left': 13384, 'right': 3880, 'up': 75}"
city_17_seattle_3p5_s,0,val,4364,3047,1317,0.30178735105407883,23,614,2433,0.20150968165408598,0.798490318345914,7.514932720708894,3,16,0,0.0,0.3655341676060558,"{'down': 301, 'left': 1133, 'right': 1095, 'up': 518}"
city_17_seattle_3p5_s,1,train,19374,19371,3,0.0001548467017652524,23,4997,14374,0.2579629342832069,0.7420370657167932,6.589076454493831,1,15,366,0.018894223323524858,0.4204020802050578,"{'down': 139, 'left': 15093, 'right': 4139}"
city_17_seattle_3p5_s,1,val,4886,3399,1487,0.3043389275480966,23,754,2645,0.2218299499852898,0.7781700500147102,9.110032362459547,3,15,0,0.0,0.29176100387582027,"{'down': 234, 'left': 1356, 'right': 1304, 'up': 505}"
city_17_seattle_3p5_s,2,train,16819,16817,2,0.0001189131339556454,23,8208,8609,0.48807754058393293,0.5119224594160671,5.7270024380091575,1,15,1985,0.11803532140096332,0.4885170544299118,"{'down': 254, 'left': 12539, 'right': 3932, 'up': 92}"
city_17_seattle_3p5_s,2,val,4204,2799,1405,0.33420551855375835,23,1789,1010,0.639156841729189,0.360843158270811,7.572347266881029,1,14,1,0.0003572704537334762,0.3879801792565668,"{'down': 268, 'left': 966, 'right': 950, 'up': 615}"
city_18_denver_3p5,0,train,22615,22615,0,0.0,23,3434,19181,0.15184611983196994,0.8481538801680301,6.336679195224408,1,17,351,0.015520672120274154,0.45673802497380533,"{'left': 17739, 'right': 4876}"
city_18_denver_3p5,0,val,5621,4333,1288,0.22914072229140722,23,719,3614,0.16593584121855529,0.8340641587814447,9.298407569813062,1,17,13,0.003000230786983614,0.31526505383357245,"{'down': 1128, 'left': 973, 'right': 971, 'up': 1261}"
city_18_denver_3p5,1,train,25104,25104,0,0.0,23,5895,19209,0.23482313575525812,0.7651768642447419,6.510556086679413,1,18,217,0.0086440407903123,0.436131778756893,"{'left': 20228, 'right': 4876}"
city_18_denver_3p5,1,val,6293,5168,1125,0.1787700619736215,23,1292,3876,0.25,0.75,8.626160990712075,2,18,0,0.0,0.3498452012383901,"{'down': 937, 'left': 1622, 'right': 1600, 'up': 1009}"
city_18_denver_3p5,2,train,23340,23340,0,0.0,23,1980,21360,0.08483290488431877,0.9151670951156813,5.57159383033419,1,16,332,0.014224507283633248,0.5173093401885176,"{'left': 18464, 'right': 4876}"
city_18_denver_3p5,2,val,5649,4212,1437,0.2543813064259161,23,354,3858,0.08404558404558404,0.915954415954416,7.388651471984805,3,15,0,0.0,0.38850695734753704,"{'down': 1170, 'left': 1145, 'right': 1142, 'up': 755}"
city_19_oklahoma_3p5_s,0,train,23020,23017,3,0.00013032145960034753,23,9033,13984,0.392449059390885,0.607550940609115,4.832297866794109,1,13,268,0.011643567797714733,0.5061854092721637,"{'left': 18302, 'right': 4715}"
city_19_oklahoma_3p5_s,0,val,5859,4737,1122,0.19150025601638504,23,1692,3045,0.357188093730209,0.642811906269791,7.028499050031666,1,16,5,0.0010555203715431707,0.3702490110233041,"{'down': 1034, 'left': 1443, 'right': 1435, 'up': 825}"
city_19_oklahoma_3p5_s,1,train,23117,23114,3,0.00012977462473504346,23,8967,14147,0.387946698970321,0.612053301029679,5.268192437483776,1,16,196,0.008479709267110842,0.4466180857827554,"{'left': 18399, 'right': 4715}"
city_19_oklahoma_3p5_s,1,val,5753,4602,1151,0.20006952894142185,23,1726,2876,0.3750543242068666,0.6249456757931334,8.237722729248153,1,16,26,0.005649717514124294,0.3163180469739055,"{'down': 1118, 'left': 1311, 'right': 1309, 'up': 864}"
city_19_oklahoma_3p5_s,2,train,23137,23135,2,8.644163028914726e-05,23,12634,10501,0.5460989842230387,0.4539010157769613,5.301491247028312,1,15,1014,0.043829695266911606,0.4830118115785418,"{'left': 18420, 'right': 4715}"
city_19_oklahoma_3p5_s,2,val,5832,4703,1129,0.19358710562414266,23,2482,2221,0.5277482458005528,0.47225175419944715,8.400595364660855,1,16,13,0.0027641930682543057,0.3774556481062042,"{'down': 1078, 'left': 1365, 'right': 1361, 'up': 899}"
city_16_sanfrancisco_3p5_lwm,0,train,3538,3510,28,0.00791407574901074,23,3503,7,0.998005698005698,0.0019943019943019944,4.202849002849002,1,16,769,0.21908831908831908,0.6613402700359222,"{'down': 2912, 'left': 11, 'right': 11, 'up': 576}"
city_16_sanfrancisco_3p5_lwm,0,val,904,659,245,0.27101769911504425,23,657,2,0.9969650986342944,0.0030349013657056147,5.349013657056146,1,13,40,0.06069802731411229,0.5281388137494227,"{'down': 336, 'up': 323}"
city_16_sanfrancisco_3p5_lwm,1,train,14914,14914,0,0.0,23,14696,218,0.9853828617406464,0.014617138259353627,4.351951186804345,1,16,747,0.05008716642081266,0.48400102617324836,"{'down': 704, 'left': 10296, 'right': 3914}"
city_16_sanfrancisco_3p5_lwm,1,val,3748,2263,1485,0.39621131270010673,23,2209,54,0.9761378700839594,0.023862129916040652,8.105612019443218,2,16,0,0.0,0.32588522353935717,"{'down': 984, 'left': 226, 'right': 226, 'up': 827}"
city_16_sanfrancisco_3p5_lwm,2,train,15803,15803,0,0.0,23,15426,377,0.9761437701702208,0.023856229829779155,5.292602670379042,1,15,468,0.029614630133518952,0.41986524297808064,"{'down': 201, 'left': 11180, 'right': 4422}"
city_16_sanfrancisco_3p5_lwm,2,val,3964,2656,1308,0.32996972754793136,23,2572,84,0.9683734939759037,0.03162650602409638,8.751882530120483,1,17,31,0.011671686746987951,0.33718569931901515,"{'down': 1167, 'left': 262, 'right': 262, 'up': 965}"
city_23_beijing_3p5,0,train,36500,36487,13,0.00035616438356164383,23,22485,14002,0.616246882451284,0.383753117548716,4.820456600981172,1,14,600,0.016444213007372487,0.47717531318480316,"{'down': 699, 'left': 29175, 'right': 6578, 'up': 35}"
city_23_beijing_3p5,0,val,9205,8475,730,0.07930472569255839,23,5152,3323,0.607905604719764,0.392094395280236,9.778171091445428,2,18,0,0.0,0.2655636783378223,"{'down': 2054, 'left': 3018, 'right': 2876, 'up': 527}"
city_31_barcelona_3p5,0,train,30023,30023,0,0.0,23,26910,3113,0.8963128268327616,0.10368717316723845,4.195916464044233,1,15,1677,0.055857176164940216,0.5320225508269747,"{'down': 697, 'left': 22479, 'right': 6518, 'up': 329}"
city_31_barcelona_3p5,0,val,7479,5623,1856,0.24816151891964167,23,5037,586,0.8957851680597546,0.10421483194024542,8.369375778054419,1,17,19,0.003378979192601814,0.34005520803532074,"{'down': 1665, 'left': 1404, 'right': 1392, 'up': 1162}"
city_35_san_francisco_3p5,0,train,22554,22554,0,0.0,23,18103,4451,0.8026514143832579,0.19734858561674204,3.779196594839053,1,15,1465,0.06495521858650351,0.5468325294655146,"{'down': 1129, 'left': 15350, 'right': 5315, 'up': 760}"
city_35_san_francisco_3p5,0,val,5650,4106,1544,0.2732743362831858,23,3406,700,0.8295177788602046,0.17048222113979541,7.229663906478325,1,16,34,0.008280565026790063,0.3560325292784684,"{'down': 1471, 'left': 555, 'right': 555, 'up': 1525}"
city_47_chicago_3p5,0,train,22442,22442,0,0.0,23,15284,7158,0.6810444701898226,0.31895552981017733,4.1087692719009,1,14,1232,0.05489706799750468,0.5123855503849537,"{'down': 1151, 'left': 14806, 'right': 6144, 'up': 341}"
city_47_chicago_3p5,0,val,5646,4101,1545,0.2736450584484591,23,3230,871,0.7876127773713728,0.21238722262862716,7.351865398683248,1,16,21,0.005120702267739576,0.36527676176542306,"{'down': 1667, 'left': 688, 'right': 608, 'up': 1138}"
